Posición;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
153846;1.13827e+06;452.075;683.44
307692;2.25975e+06;602.501;1004.78
461538;3.37805e+06;770.5;1052.29
615384;4.38654e+06;834.321;1307.24
769230;5.46152e+06;978.635;1629.82
923076;6.62442e+06;1238.39;1772.35
1076922;7.90811e+06;891.711;1869.89
1230768;8.96688e+06;1183.55;2063.67
1384614;9.94388e+06;1119.05;2120.67
1538460;1.11216e+07;1101.34;2005.96
1692306;1.21095e+07;1214.67;2066.44
1846152;1.32651e+07;1312.87;2149.2
1999998;1.43664e+07;779.883;1962.53
