Posición;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
153846;1.12032e+06;304.626;473.749
307692;2.30186e+06;430.297;710.249
461538;3.3858e+06;754.927;1049.39
615384;4.48454e+06;943.949;1335.71
769230;5.60381e+06;952.901;1488.26
923076;6.84826e+06;1490.6;2074.77
1076922;8.17375e+06;1144.45;2185.24
1230768;9.23748e+06;1301.23;2081.06
1384614;1.02596e+07;1181.58;2006.36
1538460;1.15785e+07;1440.02;2436.46
1692306;1.29338e+07;1863.22;2506.5
1846152;1.38526e+07;1447.14;2330.9
1999998;1.56033e+07;1203.11;2654.42
